Date,equity
2024-03-15,1.2106261279261672
2024-03-18,1.2109075614111533
2024-03-19,1.2108466067142951
2024-03-20,1.2108297555795842
2024-03-21,1.2111555454208986
2024-03-22,1.2130753521667996
2024-03-25,1.2119309546011794
2024-03-26,1.2125218261572277
2024-03-27,1.2157417756147186
2024-03-28,1.2156244896129766
2024-04-01,1.2104189607448017
2024-04-02,1.2106213137415915
2024-04-03,1.2105508749499503
2024-04-04,1.210971847463603
2024-04-05,1.2117845869172799
2024-04-08,1.212154748136525
2024-04-09,1.2116861155844796
2024-04-10,1.2097875630158148
2024-04-11,1.2101517983389825
2024-04-12,1.2095468463652588
2024-04-15,1.209776713943297
2024-04-16,1.21105434133923
2024-04-17,1.2086629789385486
2024-04-18,1.2102197917191695
2024-04-19,1.2103011289963408
2024-04-22,1.2104876184860927
2024-04-23,1.21037381177656
2024-04-24,1.2101403825533654
2024-04-25,1.211900557555873
2024-04-26,1.2110270559887053
2024-04-29,1.20952080829334
2024-04-30,1.2107077221095444
2024-05-01,1.2099367001261314
2024-05-02,1.2102619948131352
2024-05-03,1.2105484403384779
2024-05-06,1.210908956765093
2024-05-07,1.21240621679774
2024-05-08,1.211173842632877
2024-05-09,1.212820954198278
2024-05-10,1.2112740881413226
2024-05-13,1.2124196829040927
2024-05-14,1.214014363437966
2024-05-15,1.2181356074077925
2024-05-16,1.2177627805284448
2024-05-17,1.2159317532272456
2024-05-20,1.2151512062521261
2024-05-21,1.216748492657622
2024-05-22,1.2166708821121501
2024-05-23,1.2158867544874656
2024-05-24,1.2161276271669739
2024-05-28,1.2150944403524917
2024-05-29,1.2155790874916839
2024-05-30,1.2136608855521567
2024-05-31,1.2124216002631103
2024-06-03,1.2126269061597557
2024-06-04,1.213823707037464
2024-06-05,1.2165119928872157
2024-06-06,1.2161205594493567
2024-06-07,1.2103913596538844
2024-06-10,1.2093425621171228
2024-06-11,1.2087419223365192
2024-06-12,1.2093347733683741
2024-06-13,1.212690295667165
2024-06-14,1.2152992858702947
2024-06-17,1.2126877088150736
2024-06-18,1.2154318073291335
2024-06-20,1.2141776583627897
2024-06-21,1.2143067737017217
2024-06-24,1.2146731238548885
2024-06-25,1.215225652154761
2024-06-26,1.211481098832744
2024-06-27,1.2122013464848493
2024-06-28,1.2083543166332613
2024-07-01,1.2070992105912517
2024-07-02,1.2054839998924067
2024-07-03,1.2028895482950364
2024-07-05,1.2034538156870653
2024-07-08,1.2036962964706601
2024-07-09,1.2035195859467291
2024-07-10,1.2044748933757836
2024-07-11,1.2078767043839582
2024-07-12,1.2095755825440524
2024-07-15,1.2077478168287539
2024-07-16,1.2086931800947367
2024-07-17,1.2092168232611307
2024-07-18,1.207753549050254
2024-07-19,1.2063451104108027
2024-07-22,1.205876843774392
2024-07-23,1.2058981713356076
2024-07-24,1.2060357869180505
2024-07-25,1.2052455640561412
2024-07-26,1.2063220128424956
2024-07-29,1.2067367915302551
2024-07-30,1.207867280266526
2024-07-31,1.2114882869047199
2024-08-01,1.2146967092838759
2024-08-02,1.2246521438430884
2024-08-05,1.2255266371554416
2024-08-06,1.2201860751958733
2024-08-07,1.2186410034557864
2024-08-08,1.2176206650210175
2024-08-09,1.2194744577496741
2024-08-12,1.2207543304422033
2024-08-13,1.2228818284433558
2024-08-14,1.2242664939161243
2024-08-15,1.2214026389919836
2024-08-16,1.2229409777315519
2024-08-19,1.2237821801332596
2024-08-20,1.2266286699177444
2024-08-21,1.2274840263166926
2024-08-22,1.2243958010309859
2024-08-23,1.2271160888382706
2024-08-26,1.2265922961192868
2024-08-27,1.226467293070563
2024-08-28,1.2262718445101781
2024-08-29,1.2257112599960802
2024-08-30,1.2253750478470937
2024-09-03,1.2258740651017783
2024-09-04,1.2270551683375985
2024-09-05,1.2283843487148343
2024-09-06,1.2295261020237522
2024-09-09,1.2299648513054338
2024-09-10,1.232607232888088
2024-09-11,1.2319779368423838
2024-09-12,1.231035791054049
2024-09-13,1.2325245401170357
2024-09-16,1.2339989710765296
