Date,SHY,IEF,TLT,BIL,TBF
2011-10-28,23765.895503336404,29496.24648038247,30555.738493398636,20868.39368401065,14063.074713600787
2011-10-31,23788.40479617273,29891.877351030522,31767.445370244954,20863.832839347284,13521.869250613534
2011-11-01,23790.663314916797,30250.40905160622,32830.84644477775,20872.946090478526,13066.123109313228
2011-11-02,23796.287366806726,30178.064191910555,32421.315086678722,20868.40212220614,13224.81990394278
2011-11-03,23799.103318334677,30036.271459504947,31976.064339549444,20863.837058445024,13399.795693393913
2011-11-04,23799.108552445323,30125.986416678315,32014.529962428074,20868.40212220614,13395.725944688516
2011-11-07,23793.476649389428,30160.708874978704,32217.928640887134,20872.939761831905,13298.067278950362
2011-11-08,23790.658080806155,30024.707160435388,31805.66939794093,20872.946090478526,13468.97151932065
2011-11-09,23796.28213269608,30290.916615550566,32465.285409921606,20868.39368401065,13188.1984669083
2011-11-10,23799.10593539,30143.33582139184,31981.553749079343,20872.941871380783,13383.52029932323
2011-11-11,23787.855214554824,30004.460768736146,31786.406004832923,20868.395793559524,13464.902670802978
2011-11-14,23799.108552445323,30192.5313901842,32297.651992995827,20872.946090478526,13253.305444317368
